name,player_style,nationality,base_price_(in_lacs),final_price_(in_lacs),franchise,status
Wriddhiman Saha,WK-Batter,India,3.044522437723423,5.25227342804663,GT,RETAINED
Vicky Ostwal,Allrounder,India,3.044522437723423,3.044522437723423,DC,RETAINED
Ambati Rayudu,WK-Batter,India,3.044522437723423,6.516193076042964,CSK,RETAINED
Darshan Nalkande,Bowler,India,3.044522437723423,3.044522437723423,GT,RETAINED
Ishan Kishan,WK-Batter,India,3.044522437723423,7.330405211844402,MI,RETAINED
Mahipal Lomror,Allrounder,India,3.044522437723423,4.564348191467836,RCB,RETAINED
Dinesh Karthik,WK-Batter,India,3.044522437723423,6.311734809152915,RCB,RETAINED
Rajvardhan Hangargekar,Bowler,India,3.044522437723423,5.017279836814924,CSK,RETAINED
Jonny Bairstow,WK-Batter,England,3.044522437723423,6.516193076042964,PBKS,RETAINED
Washington Sundar,Allrounder,India,3.044522437723423,6.775366090936392,SRH,RETAINED
Raj Bawa,Bowler,India,3.044522437723423,5.303304908059076,PBKS,RETAINED
Manan Vohra,Batter,India,3.044522437723423,3.044522437723423,LSG,RETAINED
Nitish Rana,Allrounder,India,3.044522437723423,6.68586094706836,KKR,RETAINED
Rinku Singh,Batter,India,3.044522437723423,4.02535169073515,KKR,RETAINED
Harshal Patel,Bowler,India,3.044522437723423,6.98100574072173,RCB,RETAINED
Krunal Pandya,Allrounder,India,3.044522437723423,6.716594773520978,LSG,RETAINED
Maheesh Theekshana,Bowler,Sri Lanka,3.044522437723423,4.2626798770413155,CSK,RETAINED
Mitchell Marsh,Allrounder,Australia,3.044522437723423,6.478509642208569,DC,RETAINED
Karn Sharma,Bowler,India,3.044522437723423,3.9318256327243257,RCB,RETAINED
Chetan Sakariya,Bowler,India,3.044522437723423,6.042632833682381,DC,RETAINED
Navdeep Saini,Bowler,India,3.044522437723423,5.564520407322694,RR,RETAINED
Lungi Ngidi,Bowler,South Africa,3.044522437723423,3.9318256327243257,DC,RETAINED
Khaleel Ahmed,Bowler,India,3.044522437723423,6.26530121273771,DC,RETAINED
Jayant Yadav,Allrounder,India,3.044522437723423,5.14166355650266,GT,RETAINED
Vijay Shankar,Allrounder,India,3.044522437723423,4.948759890378168,GT,RETAINED
Liam Livingstone,Allrounder,England,3.044522437723423,7.048386408721883,PBKS,RETAINED
David Willey,Allrounder,England,3.044522437723423,5.303304908059076,RCB,RETAINED
Marco Jansen,Allrounder,South Africa,3.044522437723423,6.042632833682381,SRH,RETAINED
Krishnappa Gowtham,Allrounder,India,3.044522437723423,4.51085950651685,LSG,RETAINED
Karan Sharma,Allrounder,India,3.044522437723423,3.044522437723423,LSG,RETAINED
Shivam Dube,Allrounder,India,3.044522437723423,5.993961427306569,CSK,RETAINED
Mohd Arshad Khan,Bowler,India,3.044522437723423,3.044522437723423,MI,RETAINED
Lalit Yadav,Allrounder,India,3.044522437723423,4.189654742026425,DC,RETAINED
Baltej Singh,Allrounder,India,3.044522437723423,3.044522437723423,PBKS,RETAINED
Aiden Markram,Batter,South Africa,3.044522437723423,5.564520407322694,SRH,RETAINED
Kyle Mayers,Allrounder,West Indies,3.044522437723423,3.9318256327243257,LSG,RETAINED
Arjun Tendulkar,Allrounder,India,3.044522437723423,3.4339872044851463,MI,RETAINED
Hrithik Shokeen,Allrounder,India,3.044522437723423,3.044522437723423,MI,RETAINED
Kuldip Yadav,Bowler,India,3.044522437723423,3.044522437723423,RR,RETAINED
Wanindu Hasaranga,Allrounder,Sri Lanka,3.044522437723423,6.98100574072173,RCB,RETAINED
Devdutt Padikkal,Batter,India,3.044522437723423,6.654152520183219,RR,RETAINED
David Miller,Batter,South Africa,3.044522437723423,5.707110264748875,GT,RETAINED
Shimron Hetmyer,Batter,West Indies,3.044522437723423,6.7464121285733745,RR,RETAINED
David Warner,Batter,Australia,3.044522437723423,6.439350371100098,DC,RETAINED
Mohammed Shami,Bowler,India,3.044522437723423,6.439350371100098,GT,RETAINED
Kagiso Rabada,Bowler,South Africa,3.044522437723423,6.8308742346461795,PBKS,RETAINED
Shreyas Iyer,Batter,India,3.044522437723423,7.111512116496157,KKR,RETAINED
Faf du Plessis,Batter,South Africa,3.044522437723423,6.55250788703459,RCB,RETAINED
Shikhar Dhawan,Batter,India,3.044522437723423,6.716594773520978,PBKS,RETAINED
Quinton de Kock,WK-Batter,South Africa,3.044522437723423,6.516193076042964,LSG,RETAINED
Trent Boult,Bowler,New Zealand,3.044522437723423,6.68586094706836,RR,RETAINED
Umran Malik,Bowler,India,3.044522437723423,5.993961427306569,SRH,RETAINED
Abdul Samad,Allrounder,India,3.044522437723423,5.993961427306569,SRH,RETAINED
Ravichandran Ashwin,Allrounder,India,3.044522437723423,6.2166061010848646,RR,RETAINED
